resume_id,type,raw_text_snippet,parser_output,root_cause
39674178,Title,"         STAFF ACCOUNTANT       Executive Summary    Motivated, enthusiastic and cheerful seeking a ",Chief Accounting Officer,Ontology miss
19545827,Title,"         ACCOUNTANT             Highlights        -Soft Skills: Public Speaking, Public Relations, T",Chief Software Consultant,Ontology miss
24703009,Title,       STAFF ACCOUNTANT          Virginia    Francis           Summary     Capable Accountant succes,Chief Accounting Technician,Ontology miss
24799301,Title,         ACCOUNTANT       Summary    Accountant for a Medium sized Company          Experience     0,"         ACCOUNTANT       Summary    Accountant for a Medium sized Company          Experience     01/2009   to   Current     Accountant    Company Name   －   City  ,   State      Hired by their CPA firm to handle all accounting and job cost Reporting.         01/2007   to   01/2009     Accountant    Company Name   －   City  ,   State      Hired by their CPA firm to handle all accounting functions..         01/1997   to   01/2007     Accountant    Company Name   －   City  ,   State      Installed new Peachtree Accounting System.  Installed new computer system using a local area network and Added a Web site.          Education and Training     1974     B.S  :   Business Administration Accounting    University of Cincinnati   －   City  ,   State      Business Administration Accounting          Interests    Annapolis Amblers Walking Club, President &Trailmaster, Maryland Volkssport Assn, President, Chesapeake Civil War Roundtable.      Skills    accounting, CPA, local area network, Peachtree Accounting, Reporting, Web site      Additional Information      Interests  Annapolis Amblers Walking Club, President &Trailmaster, Maryland Volkssport Assn, President, Chesapeake Civil War Roundtable.     ",Ontology miss
43685045,Title,"         ACCOUNTANT             Highlights        TECHNICAL SKILLS NetSuite, QuickBooks, Excel, Powe","         ACCOUNTANT             Highlights        TECHNICAL SKILLS NetSuite, QuickBooks, Excel, Power Point, Mas 90, Oracle            Accomplishments      Primary focus included Small Business Administration loans, and outstanding debts from the Department of Homeland Security, Department of Defense and the Department of Health & Human Services  Dean's List        Experience      Accountant    July 2012   to   Current     Company Name   －   City  ,   State      Handle invoicing & receivables consisting of $15 million in yearly sales  Review credit applications and issue credit terms  Review purchase orders to ensure proper amounts are received into inventory  Set up all vendors and customer records to ensure proper documentation is documented including tax exemption certificates and 1099 information  Month end reconciling for bank accounts and loan accounts  File all sales tax returns which currently consists of six states  Manage all company credit card expenses, including account reconciling and employee expense reports for approximately $40k in monthly charges  Review monthly GL, including expense accounts, fixed assets and COGS  Review sales and commission reports  Provide payroll support  Review inventory, warranties and service cases to ensure accurate records are kept          Sales & Use Tax Administrator    June 2011   to   June 2012     Company Name   －   City  ,   State      File approximately $1 million in monthly sales and use tax returns throughout the North Central region, including eleven states, City of Chicago, North Dakota Propane and Minnesota Care Tax  Prepare and file tax deposits and quarterly returns according to state guidelines  Perform month-end closure for both sales and use tax general ledgers  Review and analyze account short pays for tax issues  Assess customer accounts to determine proper taxability according to tax publications set forth by the Department of Revenue  Maintain all exemption certificates to ensure state guidelines and procedures are followed  Support branch locations, administrative and corporate offices with sales tax related issues  Assist with accounts payable and receivable          Accounting Associate    August 2008   to   June 2011     Company Name   －   City  ,   State      Accounts payable for the company headquarters and three large operational centers, including coding, keying, purchase orders, employee expense reports, etc  Portfolio balancing for several large clients including Citibank and Sallie Mae  Bank reconciliations  Importing financial data into financial reporting software using Mas90  Ensure financial records are maintained in compliance with accepted policies and procedures for both internal and client audits  Ensure accurate and timely monthly, quarterly and year-end close  Work closely with several different departments and clients to ensure accurate records are kept  Compile and analyze financial information to prepare entries to accounts  Accounts receivable for several different clients and systems throughout the company          Government Collections Representative    November 2004   to   August 2008     Company Name          Involved with the initial startup of the department, creating and implementing policies and procedures to ensure Government regulations were met  Performed team lead position consisting of a 15+ employee team  Worked a self-managed portfolio consisting of 300 - 800 accounts  Primary focus included Small Business Administration loans, and outstanding debts from the Department of Homeland Security, Department of Defense and the Department of Health & Human Services  Consistent top achiever and performer  Helped to develop, implement and maintain policies, procedures and standards on training new associates  Advised and provided customers with account detail, payment history, loan refinance, etc.  Analyzed credit history and finances to determine risk to the client  Negotiated repayment of defaulted loans within government guidelines  Employment location and verification for litigation and wage garnishment purposes  Asset investigation and location for potential judgments          Education      Bachelor of Arts   :   Real Estate & Finance      University of Northern Iowa   －   City  ,   State  ,   US    University of Northern Iowa, Cedar Falls, IA May 2008 Bachelor of Arts Degree, Real Estate & Finance        Associates of Applied Arts   :   Applied Arts      Hawkeye Community College   －   City  ,   State  ,   US    Hawkeye Community College, Waterloo, IA May 2003 Associates of Applied Arts Dean's List          Skills    Credit, Purchase Orders, Accounts Payable, File, Million, Sales, Sales And, Sales Tax, Tax Returns, Collections, Litigation, Loans, Team Lead, Training, Accounting, Accounts Receivable, Associate, Audits, Bank Reconciliations, Clients, Coding, Financial Reporting, Mas90, Reconciliations, Accountant, Accounts And, All Sales, Cases, Cogs, Credit Card, Documentation, Fixed Assets, Gl, Including Account, Inventory, Invoicing, Payroll, Receivables, Reconciling, Review Credit, Customer Accounts, Monthly Sales, With Accounts, With Sales, Excel, Mas, Mas 90, Netsuite, Oracle, Quickbooks, Finance, Real Estate   ",Ontology miss
24695561,Title,         VICE PRESIDENT       Executive Profile     Accomplished at building and sustaining outstand,Chief Operations Manager,Ontology miss
37333719,Title,         SEXUAL ASSAULT CRISIS COUNSELOR / VICTIM ADVOCATE         Core Qualifications        Micros,"         SEXUAL ASSAULT CRISIS COUNSELOR / VICTIM ADVOCATE         Core Qualifications        Microsoft Office and General Computer skills              Education     August 2012     Master of Social Work      Fordham University   －   City               May 2009     Bachelor of Arts  :   Social Services    Quinnipiac University   －     State      Social Services       May 2006     Associate of Science  :   Human Services    Naugatuck Valley CC   －     State      Human Services          Experience     02/2013   to   Current     Sexual Assault Crisis Counselor / Victim Advocate    Company Name   －   City  ,   State      One on one trauma informed crisis counseling to clients with an emphasis on empowerment *Provide advocacy and accompaniment for clients at the hospital, police and court level *Provide support and counseling to family members and friends of victims *Community Outreach  *Facilitates multiple support groups to men and women at various community agencies *Legislative Advocacy Committee Liaison *Attend multiple community meetings, roundtables, committees, teams.         01/2010   to   01/2012     Clinical Social Work Intern    Company Name   －   City  ,   State      Visited clients in their homes, nursing facilities and hospital setting *Maintained a caseload of 20 - 30 clients *Provided Psych-Social initial and updated assessments *Developed care plans for clients and their families *Coordinated community services for clients and their families.         01/2008       Community Educator Intern    Company Name   －   City  ,   State      Facilitated educational training in the community on domestic violence and sexual assault.         02/2005   to   06/2016     Supervisor    Company Name   －   City  ,   State      Train and Supervise 153 employees and new supervisors.         01/2001       Social Work Intern    Company Name   －   City  ,   State      Developed and implemented curriculum on issues of domestic violence, sexual assault and self-esteem for male and female support groups.                  Skills    Active Listening, Curriculum Development, Group Facilitation, Crisis Counseling    ",Ontology miss
18264694,Title,         PRESIDENT           Career Focus     Creative Marketing Professional with an MBA seeking a ,Chief Sales Manager,Ontology miss
26921245,Title,"         GIS COORDINATOR         Summary     Diligent hands-on leader, excellent at working with tig","         GIS COORDINATOR         Summary     Diligent hands-on leader, excellent at working with tight deadlines in pressurized work environments. Broad experience in government agencies domestically and abroad while drawing on concurring academia and research roles.       Accomplishments     Project Cooperation   Worked directly with USAid, and two universities to fulfill individual Master's degree requirements as well as much larger scope project objectives.    Communication   Modified technical agricultural data from field, to the the scientific community in the form of published papers, illustrated for seminars given to the public, before lastly translated into Swahili for local farmers.         Experience      Company Name    City  ,   State    GIS Coordinator   07/2015   to   Current       Used company public utility status to install small cell antennas for telecommunication carriers into the public right-of-way as new poles or attachments to existing light poles.   Tested spatial data for quality and created reports on those audits after Importing, integrating, updating and validating data from multiple sources.  Developed system documentation and user manuals on GIS best practices and functionality for a new employee onboarding packages.   Independently completed ad hoc requests including map generation, spatial analysis, and web publishing of map applications.          Company Name    City  ,   State    Research Associate   06/2012   to   08/2013       Coordinated with professors and staff at Sokoine University of Agriculture in Morogoro, Tanzania during summer session.  Conducted soil science laboratory analysis of soil alongside Tanzanian technicians and students for the growing seasons..          Company Name    City  ,   State    Graduate Teaching Assistant   08/2012   to   05/2013       Taught lectures and weekly laboratory exercises to seventy-five undergraduate students.  Assisted generation of lecture notes and laboratory tutorial materials using ArcGIS and QGIS.  Coordinated and supervised three graduate teaching assistants.          Company Name    City  ,   State    Biology Intern   03/2013   to   05/2013       Cleared ten acres of invasive plant species using manual removal with herbicide.  Maintained trails at four locations in southern Ohio and monitored water quality in streams, vernal pools, and river systems.  Completed frog and bird surveys to monitor wildlife populations.  Injected ash trees located within the park, tagged and recorded all injected trees using ArcGIS.          Company Name    City  ,   State    Seasonal Forestry Worker   04/2012   to   08/2012       Reduced threat or damage from Emerald Ash Borer through preventative injections using Arborjet treatments and applied growth inhibitor to trees under utility lines.  Planted 380 container trees and monitored growth and health.  Pruned 4,000 large trees using pole saws, power pole saws, shears and hand saws.  Removed 400 trees and ground 800 stumps using heavy machinery.          Company Name    City  ,   State    Research Assistant   01/2011   to   12/2012       Collected soil samples in no-till, conservation till, and conventional till plots.  Evaluated carbon and nitrogen levels in diluted runoff samples.  Determined soil quality, plant available water, and bulk density of cores.          Company Name    City  ,   State    Trail Logistics Intern   06/2011   to   08/2011       Reported backcountry trail hours worked and miles accomplished.  Collaborated with California Conservation Corps participants and management to achieve mission objectives including: trail clearing, safety demonstrations, social skills training, public affairs, and logistical support.  Aided the backcountry packer with long-distance supply organization travelling over 400 miles on horseback and a string of four mules.  Checked fire and camping permits of hikers met on trail.          Company Name    City  ,   State    Secretary   06/2010   to   09/2010       Coordinated and communicated with Sandusky County court system and judges to schedule all court dates and client meetings.  Answered incoming calls, responded to emails, created client MS Excel spreadsheets.  Kept records of court decisions and payments dating back 5 years.  Drafted legal documents and organized client interviews.          Education      Masters of Science  :  Environmental Science   2015     The Ohio State University  ,   City  ,   State        Impact of Management on Soil Fertility and Rice Yields in Smallholder Farms in Tanzania           Bachelor of Science  :  Environmental Policy and Management   2012     The Ohio State University  ,   City  ,   State              Languages      Semi-fluent Spanish  Conversational Swahili        Additional Information     Honors and Awards: National Championship Titles Equestrian Team, 2011, 2012, Dean's list, AmeriCorps Scholar 4-H Spirit of Leadership, 2009 4-H Ten Year Member Award, 2013 recipient of $11,000 Coca-Cola Sustainability Grant        Skills     analytical skills, quality control, research, safety, statistics, surveys, teaching, water quality, soil fertility    ",Ontology miss
30344127,Title,         SENIOR MATERIALS ANALYST       Summary    Requirements for this position include: Bachelor',Chief Operations Director,Ontology miss
