resume_id,incorrect_skill,why_matched,exact_rule_responsible,source_text
9a0364c017cf47dcb50a024164b156f6,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
9a0364c017cf47dcb50a024164b156f6,ADS,ontology overreach,regex word boundary match without case sensitivity,Standalone char ADS found in text
72d9db5ddf8f443ca989faeb6988ac93,SAP,substring matching,regex word boundary match without case sensitivity,Standalone char SAP found in text
5324614f85b8464c9fe55aee7efefca7,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
b9ebafb85a1c4c74a2e827b109037bc9,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
de76106a7a93475dbd043b2f4364ff35,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
de76106a7a93475dbd043b2f4364ff35,STA,ontology overreach,regex word boundary match without case sensitivity,Standalone char STA found in text
08eb0f97a19d47a3bd2ecb1064c72972,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
0ebf2f4fa54144f292181a5d4af32bd7,ADS,ontology overreach,regex word boundary match without case sensitivity,Standalone char ADS found in text
bc6afd5ab2134304899cf2e8d974a780,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
6be7fc6d6dcf4bb6a43578aeebbe8871,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
6be7fc6d6dcf4bb6a43578aeebbe8871,STA,ontology overreach,regex word boundary match without case sensitivity,Standalone char STA found in text
78d1f684d1af4acfa3c372aa66167859,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
80cba8a915814f74951e7f48524cfb68,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
80cba8a915814f74951e7f48524cfb68,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
abee6ba45583407897ca324391fce523,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
abee6ba45583407897ca324391fce523,ADS,ontology overreach,regex word boundary match without case sensitivity,Standalone char ADS found in text
30fdb8bb5c4e406e9698d1b0f0de4fb4,SAP,substring matching,regex word boundary match without case sensitivity,Standalone char SAP found in text
d0af0c75d708457a9d4d30defd9f056d,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
035c2dca853d4dc1b65f81ac44bbfa92,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
886c1cea5bfc420c83dfb97fd024819f,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
886c1cea5bfc420c83dfb97fd024819f,STA,ontology overreach,regex word boundary match without case sensitivity,Standalone char STA found in text
aa886e979e95462b9d001d0a5549ded0,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
775e2788920448d8ab7f46c34f7dd884,ADS,ontology overreach,regex word boundary match without case sensitivity,Standalone char ADS found in text
f5f84c74f83e4319b7762991d0ed3145,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
843b7fdcbcca4afeaf6a58f9274c1e8b,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
843b7fdcbcca4afeaf6a58f9274c1e8b,STA,ontology overreach,regex word boundary match without case sensitivity,Standalone char STA found in text
2ae995cced0045309167b20934285066,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
1aadc48f7c5144bd9e9c4366bc7e1e41,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
1aadc48f7c5144bd9e9c4366bc7e1e41,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
6c1b498e9e9c47f99ddb4553db7ff7a7,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
6c1b498e9e9c47f99ddb4553db7ff7a7,ADS,ontology overreach,regex word boundary match without case sensitivity,Standalone char ADS found in text
6fa61299f97e4e3c8c27b1c431c3b41a,SAP,substring matching,regex word boundary match without case sensitivity,Standalone char SAP found in text
bc453457802c4adea728409e99eef155,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
a2251b31abb44f328fd7539b126f9f89,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
caa235b575854db3ba4d1f3884c9061e,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
caa235b575854db3ba4d1f3884c9061e,STA,ontology overreach,regex word boundary match without case sensitivity,Standalone char STA found in text
7c113029aedc4493b1b5f5871ad8d8e1,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
6a47c421f7f24a028061a4d775676bfe,ADS,ontology overreach,regex word boundary match without case sensitivity,Standalone char ADS found in text
85247c001d544861b2a51b398df883f8,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
fde3db6be79e44948df24ed9c1fc08da,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
fde3db6be79e44948df24ed9c1fc08da,STA,ontology overreach,regex word boundary match without case sensitivity,Standalone char STA found in text
9d39c1a952214192beb38b5a9a313afd,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
46d870a369074a1f81cc2a8d6e251e8c,C,partial token matching,regex word boundary match without case sensitivity,Standalone char C found in text
46d870a369074a1f81cc2a8d6e251e8c,R,partial token matching,regex word boundary match without case sensitivity,Standalone char R found in text
