system,status,evidence,blocker
Backend Boot,PASS,uvicorn boots on 8000 successfully,None
Frontend Boot,PASS,Next.js boots on 3001 successfully,None
Database,PASS,"SQLite persistence confirmed. Candidates: 52. Tables: ['users', 'jobs', 'candidates', 'audit_logs', 'ranking_jobs', 'recruiter_feedback']",None
Parser,PASS,Resume parsing uses deterministic rules.,None
Ranking Engine,PASS,Ranking occurs via LightGBM locally.,None
Candidate Upload,PASS,POST /api/candidates/upload works.,None
Comparison,FAIL,UI states not wired to real diff API.,High
Search,FAIL,Workspace search bar does not filter.,Medium
Export,FAIL,Export button not implemented.,Low
Metrics Reproducibility,INVALID,No scripts exist to reproduce 94.8% precision natively.,Medium
